,Unnamed: 0,bug_id,at_1,at_2,at_3,at_4,at_5,at_10,component,assignees,author,chosen,similar_bug,jaccard_score,history_at_1,history_at_2,history_at_3,history_at_4,history_at_5,history_at_6,history_at_7,history_at_8,history_at_9,history_at_10,history_at_1_v,history_at_2_v,history_at_3_v,history_at_4_v,history_at_5_v,history_at_6_v,history_at_7_v,history_at_8_v,history_at_9_v,history_at_10_v,code_at_1,code_at_2,code_at_3,code_at_4,code_at_5,code_at_6,code_at_7,code_at_8,code_at_9,code_at_10,code_at_1_v,code_at_2_v,code_at_3_v,code_at_4_v,code_at_5_v,code_at_6_v,code_at_7_v,code_at_8_v,code_at_9_v,code_at_10_v,api_at_1,api_at_2,api_at_3,api_at_4,api_at_5,api_at_6,api_at_7,api_at_8,api_at_9,api_at_10,api_at_1_v,api_at_2_v,api_at_3_v,api_at_4_v,api_at_5_v,api_at_6_v,api_at_7_v,api_at_8_v,api_at_9_v,api_at_10_v,report_time
385,6059,347302,1,1,1,1,1,1,JDT-UI,Dani Megert,Dani Megert,Dani Megert,30700,0.03524904214559387,JDT-UI-Inbox,Martin Aeschlimann,Markus Keller,Dani Megert,Dirk Baeumer,Benno Baumgartner,Tobias Widmer,Tom Hofmann,Adam Kiezun,Erich Gamma,258.5171120444333,233.9203618064928,213.9554983625013,213.3741546230458,198.46161979712738,178.04730904871482,146.39750282404898,127.13158459801996,107.55065221139549,105.52782335269288,Dani Megert,Markus Keller,Martin Aeschlimann,Raksha Vasisht,Deepak Azad,Benno Baumgartner,Dirk Baeumer,teicher,Adam Kiezun,Erich Gamma,93.76627085536735,88.09331329028933,55.21498403146694,54.14941345568019,49.161415134456576,33.93751483625459,29.727503953758198,26.433281886005826,25.680740855256637,25.092471402597962,Markus Keller,Dani Megert,Martin Aeschlimann,Adam Kiezun,Benno Baumgartner,Deepak Azad,Dirk Baeumer,Darin Wright,Raksha Vasisht,Tobias Widmer,211.5362638642144,180.49233670970628,96.68870463583508,89.16890036361715,62.93825884903392,60.88382951853001,58.47438637538036,58.127745963787824,48.989977326349994,40.99667847689486,2011-05-26 12:32:51
130,5804,306752,1,1,1,1,1,1,JDT-Text,Dani Megert,Dani Megert,Dani Megert,178744,0.11875,Dani Megert,Martin Aeschlimann,Markus Keller,JDT-Text-Inbox,Benno Baumgartner,Dirk Baeumer,Tobias Widmer,Tom Hofmann,Erich Gamma,Adam Kiezun,19.84665251108472,19.362537942850878,15.878470604270095,10.650867437805266,10.175021352909583,6.132400800225532,5.909732001819572,5.491499533900495,4.617150123016079,4.02937693022823,Dani Megert,Markus Keller,Martin Aeschlimann,Dirk Baeumer,teicher,Tobias Widmer,Adam Kiezun,Benno Baumgartner,Claude Knaus,Kai-Uwe Maetzel,10.268136742645336,7.225572200622969,3.110458343077808,2.767105905933076,2.1752151074546298,1.600613186599494,1.5532405756214183,1.5132517606797566,1.2333764828266371,1.1535384339019386,Markus Keller,Dani Megert,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,teicher,Dirk Baeumer,Darin Wright,Adam Kiezun,Claude Knaus,794.1317011675206,449.8897065389203,203.26590780537342,128.69574530045074,100.96463680538113,97.12308722551569,93.26637198645466,79.29699726664583,74.97894298380879,53.753745943360364,2010-03-22 18:41:45
132,5806,306763,1,1,1,1,1,1,JDT-UI,Dani Megert,Dani Megert,Dani Megert,178744,0.10497237569060773,Dani Megert,Markus Keller,Martin Aeschlimann,JDT-UI-Inbox,Benno Baumgartner,Dirk Baeumer,Tobias Widmer,Adam Kiezun,Erich Gamma,Tom Hofmann,23.0632222696752,22.639026933678263,22.15853710091432,19.207483538300306,13.846748512845005,10.400096725814103,9.170866617532665,8.030320155090998,7.558241363623358,7.376817816037267,Dani Megert,Markus Keller,teicher,Dirk Baeumer,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,Claude Knaus,Raksha Vasisht,Andre Weinand,12.267681555185714,10.923804501264264,2.873110584880948,2.8146560430367957,2.655445008842584,2.4963822233606603,2.1507161977569034,1.8543268969739732,1.8305656466718927,1.8019675210289952,Markus Keller,Dani Megert,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,teicher,Dirk Baeumer,Darin Wright,Adam Kiezun,Claude Knaus,743.3547807596941,449.3167488963106,203.26389911998376,128.69213320096887,100.96398333163042,97.12183473780242,93.2659607508332,79.29686512302776,74.97877232559857,53.75364543908938,2010-03-22 20:05:53
261,5935,327079,1,1,1,1,1,1,JDT-UI,Markus Keller,Markus Keller,Markus Keller,116223,0.14942528735632185,Markus Keller,Martin Aeschlimann,JDT-UI-Inbox,Dani Megert,Benno Baumgartner,Tobias Widmer,Dirk Baeumer,Erich Gamma,Tom Hofmann,Adam Kiezun,13.258647528946435,12.368800747782375,10.258437227811775,9.953100813356553,9.806195382945443,8.354055653048487,7.996227769976111,6.961786400341482,5.314859000004789,5.310296866726617,Dani Megert,Markus Keller,Raksha Vasisht,Benno Baumgartner,Martin Aeschlimann,Deepak Azad,teicher,Tobias Widmer,Dirk Baeumer,Adam Kiezun,3.3866957729650284,3.355498889100516,2.1314067860026342,1.5596343825491594,1.5419281263156968,1.4446488543350446,1.415468118410087,1.413942472158145,1.3727741124156263,1.2974751301794378,Dani Megert,Markus Keller,Martin Aeschlimann,Dirk Baeumer,Benno Baumgartner,Tobias Widmer,Adam Kiezun,teicher,Andre Weinand,Darin Wright,232.75307617558622,162.556591653532,122.09494938168123,112.99123171436966,79.82138086844841,63.72804592712181,58.767693054128955,58.336162661766004,49.15232545287896,45.680876981235905,2010-10-06 09:34:20
271,5945,329614,1,1,1,1,1,1,JDT-Text,Markus Keller,Markus Keller,Markus Keller,55899,0.09615384615384616,Markus Keller,Martin Aeschlimann,Dani Megert,JDT-Text-Inbox,Benno Baumgartner,Dirk Baeumer,Tom Hofmann,Tobias Widmer,Adam Kiezun,Erich Gamma,16.45475794325825,15.096509114767553,14.510467790357733,12.710583110336964,11.991963259739189,10.375638443437056,8.781075275678369,8.73062932748165,6.871673907228629,6.150435711490829,Markus Keller,Dani Megert,Deepak Azad,Raksha Vasisht,Martin Aeschlimann,teicher,Benno Baumgartner,Dirk Baeumer,Tobias Widmer,Adam Kiezun,10.65465089605267,7.943705166374602,5.9289671361838305,2.9105976233807387,2.246578194167111,2.188268438204703,2.138548467251705,1.9958285554654676,1.931190997261331,1.851734496362905,Dani Megert,Markus Keller,Deepak Azad,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,Dirk Baeumer,teicher,Darin Wright,Adam Kiezun,524.7028021207723,260.74687528455576,240.98856809951218,193.0333781210232,118.7044404204344,93.86851430502165,89.38074014170998,88.42547523478169,77.92102561182811,74.96266192252922,2010-11-06 15:32:47
147,5821,309163,1,1,1,1,1,1,JDT-UI,Markus Keller,Markus Keller,Markus Keller,243584,0.10526315789473684,Martin Aeschlimann,Markus Keller,Dani Megert,Benno Baumgartner,JDT-UI-Inbox,Tobias Widmer,Erich Gamma,Dirk Baeumer,Tom Hofmann,Grant Gayed,11.838436814576108,11.005677474962003,10.063901049017888,9.850033423775358,9.228694493390165,6.6333875526147175,6.337566914358273,6.129477561981854,3.0373096165452633,2.761798894302254,Markus Keller,Dani Megert,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,Dirk Baeumer,teicher,Adam Kiezun,Christof Marti,Erich Gamma,6.620052054766925,6.345197976841201,2.4716695336084715,1.7946311170459484,1.7868049656878258,1.718916999637568,1.3357962073058982,0.8873636956436286,0.8452700661732238,0.8325567921606583,Dani Megert,Markus Keller,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,teicher,Dirk Baeumer,Darin Wright,Adam Kiezun,Claude Knaus,542.9323143094448,394.97375278137537,202.53296286396275,127.37828523098874,100.74482407467451,96.66815227267776,93.11692129608039,79.24935878785176,74.92080217515648,53.718101862530325,2010-04-14 16:43:23
277,5951,330680,1,1,1,1,1,1,JDT-UI,Markus Keller,Markus Keller,Markus Keller,18082,0.1068702290076336,Markus Keller,Benno Baumgartner,Martin Aeschlimann,Dani Megert,Dirk Baeumer,JDT-UI-Inbox,Tobias Widmer,Tom Hofmann,Erich Gamma,Adam Kiezun,21.5872275318518,20.572725405191086,19.937328825806,18.753750830099982,17.876463332024965,14.786973012647334,12.862628002071604,9.636572939429827,8.67480304954825,8.59112000749492,Markus Keller,Dani Megert,Deepak Azad,Martin Aeschlimann,Raksha Vasisht,teicher,Dirk Baeumer,Benno Baumgartner,Tobias Widmer,Adam Kiezun,8.416511975994414,8.08118423964805,5.2291568543609435,3.1474178773212653,2.92903674741917,2.8296035592058533,2.5894859719025054,2.513700700821586,2.4350676400167828,2.4249793365116283,Dani Megert,Markus Keller,Martin Aeschlimann,Dirk Baeumer,Deepak Azad,Benno Baumgartner,Tobias Widmer,Adam Kiezun,teicher,Andre Weinand,185.94338417829292,150.27125856585658,120.60954841029465,112.1823384594418,81.06396258132966,77.85461018131116,62.92226353283851,58.15159742952852,57.50083505667767,48.887709466880004,2010-11-19 16:32:02
158,5832,310687,1,1,1,1,1,1,JDT-UI,Dani Megert,Dani Megert,Dani Megert,62386,0.07792207792207792,JDT-UI-Inbox,Markus Keller,Dani Megert,Martin Aeschlimann,Dirk Baeumer,Benno Baumgartner,Tobias Widmer,Adam Kiezun,Tom Hofmann,Erich Gamma,18.151795303564715,11.946183868257199,11.081170289424334,11.056499928109028,7.9890801637599616,7.5514766794115005,6.293705628006442,5.067961699941283,4.750960067511323,4.5475373832092005,Dani Megert,Markus Keller,Martin Aeschlimann,teicher,Kai-Uwe Maetzel,Erich Gamma,Claude Knaus,Benno Baumgartner,Dirk Baeumer,Tobias Widmer,5.530633379424256,5.053316834507596,1.9179679438960529,1.767226320942637,1.5399825641047984,1.467113397041819,1.4649956004031082,1.270008810293321,1.2063673469589935,1.1882761288424872,Markus Keller,Dani Megert,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,teicher,Dirk Baeumer,Darin Wright,Adam Kiezun,Claude Knaus,801.2232862449033,618.3902220666208,203.64991401092166,130.9918315498032,99.59656872781969,95.50890479377857,92.06915192675207,78.57584329197873,76.89903297577891,53.03678817395336,2010-04-27 18:26:24
31,5705,294322,1,1,1,1,1,1,JDT-UI,Markus Keller,Markus Keller,Markus Keller,221767,0.0986842105263158,Markus Keller,Dani Megert,Martin Aeschlimann,JDT-UI-Inbox,Benno Baumgartner,Dirk Baeumer,Tobias Widmer,Ferenc Hechler,Erich Gamma,Grant Gayed,31.35847696064773,29.68556556966752,26.505951698234945,23.626604959470736,20.07468647278672,19.461246848494188,12.976836347529032,11.98427055791047,10.948626067010903,10.714195153733717,Markus Keller,Dani Megert,Martin Aeschlimann,Benno Baumgartner,Dirk Baeumer,teicher,Tobias Widmer,Erich Gamma,Adam Kiezun,Andre Weinand,10.068903652557438,8.94622838805099,4.185881059917201,3.1975851554946937,3.1179425976574646,2.9210978462578385,2.7848120900430753,2.358373083969476,2.281236707272312,2.1008574804548337,Dani Megert,Markus Keller,Martin Aeschlimann,Benno Baumgartner,Tobias Widmer,teicher,Dirk Baeumer,Darin Wright,Adam Kiezun,Erich Gamma,537.1511785464562,266.435945648396,208.9690146516843,141.19709163386062,102.79291679503612,100.81128493273657,94.54103802236841,79.8054849467316,75.8464515713154,54.18341499004778,2009-11-05 14:25:09
164,5838,311162,1,1,1,1,1,1,JDT-Text,Dani Megert,Dani Megert,Dani Megert,49177,0.125,Dani Megert,JDT-Text-Inbox,Markus Keller,Tom Hofmann,Martin Aeschlimann,Benno Baumgartner,Dirk Baeumer,Tomasz Zarna,Adam Kiezun,Tobias Widmer,0.9041919025883932,0.7713115629870598,0.6378311697204873,0.5820033705700927,0.5806981049695141,0.5484233558433842,0.42600069625348735,0.361623035557039,0.2363446868802365,0.20092071380663465,Markus Keller,Dani Megert,Benno Baumgartner,teicher,Martin Aeschlimann,Tobias Widmer,Dirk Baeumer,Christof Marti,Kai-Uwe Maetzel,Erich Gamma,0.1929349861072655,0.16079773843109352,0.10196027109766273,0.09955086743607792,0.0954393040182618,0.0924679286575575,0.08513115340332908,0.08417361985209336,0.08376017503483361,0.08353977195128258,Markus Keller,Dani Megert,Martin Aeschlimann,Benno Baumgartner,Dirk Baeumer,Tobias Widmer,Adam Kiezun,teicher,Erich Gamma,Darin Wright,608.8605345145305,469.6525380832396,334.96179926086387,141.32401517424782,116.19419948790257,102.40738041254455,94.38100710870759,92.9273457477104,62.610741224827436,61.87898435869354,2010-04-30 12:20:30
